1,299485098570585E-2
1,534457653760910E-1
9,041163325309753E-1
9,518776535987854E-1
9,043566584587097E-1
9,360333085060120E-1
9,807491302490234E-1
1,013743877410889E+0
1,030992269515991E+0
1,027770280838013E+0
1,016137480735779E+0
9,951618313789368E-1
9,764522314071655E-1
9,527265429496765E-1
9,348259568214416E-1
9,201304912567139E-1
9,086684584617615E-1
9,067735075950623E-1
9,047483205795288E-1
9,119160771369934E-1
9,227334856987000E-1
9,432836174964905E-1
9,600000977516174E-1
9,889751076698303E-1
1,011933326721191E+0
1,031225800514221E+0
1,032818913459778E+0
1,012163877487183E+0
9,702854752540588E-1
9,053773880004883E-1
8,200237154960632E-1
7,264775037765503E-1
6,374081373214722E-1
5,576213598251343E-1
4,848355948925018E-1
4,247700572013855E-1
3,708965182304382E-1
3,276271522045135E-1
2,891688048839569E-1
2,572065591812134E-1
2,298601567745209E-1
2,064991146326065E-1
1,860256940126419E-1
1,686560660600662E-1
1,535763144493103E-1
1,399000585079193E-1
1,283585876226425E-1
1,176768615841866E-1
1,085182130336761E-1
1,004192680120468E-1
9,276730567216873E-2
8,623770624399185E-2
8,020712435245514E-2
7,480261474847794E-2
6,983543187379837E-2
6,523623317480087E-2
6,116726621985435E-2
5,738264694809914E-2
5,397217348217964E-2
5,082744732499123E-2
4,791641607880592E-2
4,523300006985664E-2
4,268702119588852E-2
4,045818746089935E-2
3,827032446861267E-2
3,635072708129883E-2
3,449710085988045E-2
3,276248276233673E-2
3,118781931698322E-2
2,967532537877560E-2
2,834190055727959E-2
2,698759548366070E-2
2,579271793365479E-2
2,469226717948914E-2
2,360473386943340E-2
2,249362505972385E-2
2,154295332729816E-2
2,066172659397125E-2
1,981052383780479E-2
1,900546811521053E-2
1,826938241720200E-2
1,758774556219578E-2
1,684476248919964E-2
1,621719263494015E-2
1,559226866811514E-2
1,504637300968170E-2
1,442039199173450E-2
1,389944925904274E-2
1,343457680195570E-2
1,294767018407583E-2
1,249506138265133E-2
1,205632183700800E-2
1,165131572633982E-2
1,125345006585121E-2
1,090893987566233E-2
1,052739191800356E-2
1,018461398780346E-2
9,852954186499119E-3
9,541485458612442E-3
9,237647987902164E-3
